ID,mImage,mTitle,mNative,mNickname,mDirectors,mActors,mTime,mCountry,mType,mPoint,mComments
000211,.jpg,东京物语,東京物語,东京故事  /  Tokyo Story,小津安二郎 Yasujirô Ozu   ,笠智众 Chishû Ryû / 原节...,1953 , 日本 , 剧情 家庭,9.2,62144人
000212,.jpg,初恋这件小事,สิ่งเล็กเล็กที่เรียกว่า...รัก,初恋那件小事(港)  /  暗恋那点小事,普特鹏·普罗萨卡·那·萨克那卡林 Puttipong Promsaka Na Sakolnakorn / 华森·波克彭..,.,2010 , 泰国 , 剧情 喜剧 爱情,8.3,544400人
000213,.jpg,疯狂的石头,,Crazy Stone,宁浩 Hao Ning   ,郭涛 Tao Guo / 刘桦 Hua Liu / 连晋 Teddy Lin,2006 , 中国大陆 香港 , 喜剧 犯罪,8.3,380155人
000214,.jpg,城市之光,City Lights,City Lights: A Comedy Romance in Pantomime  /  Lichter der Großstadt,Charles Chaplin   ,查理·卓别林 Charles Chaplin / 弗吉尼亚·...,1931 , 美国 , 喜剧 剧情 爱情,9.2,54980人
000215,.jpg,绿里奇迹,The Green Mile,绿色奇迹(台)  /  绿色英里,Frank Darabont   ,汤姆·汉克斯 Tom Hanks / 大卫·摩斯 David M...,1999 , 美国 , 犯罪 剧情 奇幻 悬疑,8.7,125861人
000216,.jpg,爱在午夜降临前,Before Midnight,爱在午夜希腊时(台)  /  情约半生(港),理查德·林克莱特 Richard Linklater   ,伊桑·霍克 Ethan Hawke ...,2013 , 美国 , 剧情 爱情,8.8,140485人
000217,.jpg,无耻混蛋,Inglourious Basterds,恶棍特工(台)  /  希魔撞正杀人狂(港),Quentin Tarantino   ,布拉德·皮特 Brad Pitt / 梅拉尼·罗兰 M...,2009 , 美国 德国 , 剧情 犯罪,8.5,258347人
000218,.jpg,末路狂花,Thelma & Louise,塞尔玛与路易丝  /  末路狂花,雷德利·斯科特 Ridley Scott   ,吉娜·戴维斯 Geena Davis / 苏...,1991 , 美国 法国 , 犯罪 剧情 惊悚,8.7,121968人
000219,.jpg,这个男人来自地球,The Man from Earth,地球不死人(港)  /  这个人来自洞穴,理查德·沙因克曼 Richard Schenkman   ,大卫·李·史密斯 David ...,2007 , 美国 , 剧情 科幻,8.5,214196人
000220,.jpg,秒速5厘米,秒速5センチメートル,秒速五厘米  /  秒速5公分,新海诚 Makoto Shinkai   ,水桥研二 Kenji Mizuhashi / 近藤好美 ...,2007 , 日本 , 动画 剧情 爱情,8.3,357487人
